Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de vélo moyenne,Cadence de vélo maximale,Vitesse moyenne,Vitesse max,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Cadence de vélo moyenne,Cadence de vélo maximale,Normalized Power® (NP®),Equilibre G/D,Training Stress Score® (TSS®),Puissance moyenne maximale (20 min),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de coups,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de tours,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Autre,2023-11-02 10:58:10,false,"Autre","0,00","404","01:07:19","109","181","3,0","121","127","--","--","--","--","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:07:18.61","1","0,0","--","--","--","00:00:00","01:10:22","--","--"
Cyclisme sur route,2023-11-01 10:42:07,false,"Endurance + PMA 10X3030","39,40","1.024","01:37:04","139","175","3,8","--","--","24,4","58,4","710","711","0,00","0,0","0,0","0","83","127","190","54% G / 46% D","87,4","176","169","756","0,0","0,0","7494","0","0","0","0:00","18,0","0:00","Non","00:00.47","47","27,0","32","17","43","01:36:44","01:39:46","51","325"
Cyclisme sur route,2023-10-31 07:30:11,false,"Marseille Cyclisme sur route","45,37","1.129","02:06:54","138","174","3,8","--","--","21,4","57,5","783","786","0,00","0,0","0,0","0","86","161","153","54% G / 46% D","74,3","166","145","625","0,0","0,0","9935","0","0","0","0:00","11,0","0:00","Non","02:06:54.07","1","19,0","31","16","40","02:06:49","02:08:11","49","328"
Autre,2023-10-30 08:00:57,false,"Autre","0,00","238","01:00:44","113","126","2,0","121","147","--","--","--","--","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:01.78","8","0,0","--","--","--","00:00:00","01:00:44","--","--"
Cyclisme sur route,2023-10-28 07:30:01,false,"Marseille Cyclisme sur route","86,79","2.043","03:23:04","140","181","5,0","--","--","25,6","62,9","1.351","1.350","0,00","0,0","0,0","0","82","127","199","53% G / 47% D","200,8","256","179","619","0,0","0,0","14182","0","0","0","0:00","7,0","0:00","Non","03:23:04.05","1","28,0","32","17","48","03:22:37","04:42:08","6","401"
Cyclisme sur route,2023-10-27 08:08:49,false,"Marseille - Base","40,82","1.026","01:44:20","144","172","4,0","--","--","23,5","57,8","740","743","0,00","0,0","0,0","0","83","123","171","56% G / 44% D","75,9","183","157","528","0,0","0,0","8124","0","0","0","0:00","12,0","0:00","Non","02:10.73","3","19,0","32","18","41","01:44:17","01:44:47","49","327"
Vélo d'intérieur,2023-10-25 06:41:00,false,"Paris Vélo d'intérieur","25,00","475","00:42:13","151","180","4,7","--","--","35,5","31,3","39","19","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","42:13.05","1","0,0","--","--","--","00:08:01","00:53:25","38","66"
Vélo d'intérieur,2023-10-19 07:00:13,false,"Vélo d'intérieur","0,00","496","00:44:52","150","177","4,4","--","--","--","--","--","--","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","19:48.52","2","0,0","--","--","--","00:00:00","00:44:52","--","--"
Cyclisme sur route,2023-10-14 14:27:41,false,"Marseille Cyclisme sur route","88,82","2.202","03:18:37","149","176","5,0","--","--","26,8","61,3","1.416","1.413","0,00","0,0","0,0","0","87","135","192","54% G / 46% D","183,8","226","183","466","0,0","0,0","15820","0","0","0","0:00","23,0","0:00","Non","03:18:36.50","1","29,0","35","20","49","03:18:33","03:19:43","12","442"
Cyclisme sur route,2023-10-13 10:50:02,false,"Marseille - Base","16,16","373","00:40:53","0","0","0,5","--","--","23,7","46,9","171","177","0,00","0,0","0,0","0","83","127","167","54% G / 46% D","28,3","126","176","689","0,0","0,0","2654","0","0","0","0:00","24,0","0:00","Non","08:33.70","2","27,0","--","--","--","00:40:20","03:13:20","32","88"
Cyclisme sur route,2023-10-09 11:14:50,false,"Marseille Cyclisme sur route","34,15","833","01:28:18","124","154","3,2","--","--","23,2","58,2","610","606","0,00","0,0","0,0","0","83","121","158","55% G / 45% D","55,2","167","150","465","0,0","0,0","6818","0","0","0","0:00","21,0","0:00","Non","01:28:18.31","1","30,0","30","14","42","01:28:15","01:30:15","50","327"
Cyclisme sur route,2023-10-08 15:05:00,false,"Marseille Cyclisme sur route","16,71","512","01:16:48","115","164","2,6","--","--","13,1","36,0","422","403","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","24,0","0:00","Non","01:16:48.09","1","32,0","25","14","37","01:15:20","01:27:43","51","321"
Cyclisme sur route,2023-10-07 07:15:29,false,"Marseille Cyclisme sur route","120,98","2.562","04:07:28","143","180","5,0","--","--","29,3","72,0","1.678","1.678","0,00","0,0","0,0","0","83","124","200","52% G / 48% D","246,4","247","186","704","0,0","0,0","17440","0","0","0","0:00","12,0","0:00","Non","04:07:28.14","1","26,0","32","12","47","04:07:12","04:26:08","7","443"
Cyclisme sur route,2023-10-06 11:28:19,false,"Marseille - Test SEUIL","54,60","1.426","02:06:07","150","179","5,0","--","--","26,0","60,7","1.027","1.026","0,00","0,0","0,0","0","84","118","203","54% G / 46% D","129,3","260","188","493","0,0","0,0","9644","0","0","0","0:00","23,0","0:00","Non","19:21.40","3","31,0","35","16","49","02:04:25","02:06:07","36","350"
Cyclisme sur route,2023-10-02 07:30:45,false,"Marseille Cyclisme sur route","43,76","1.067","01:44:53","131","163","3,8","--","--","25,0","56,9","763","758","0,00","0,0","0,0","0","77","136","178","53% G / 47% D","83,0","191","164","451","0,0","0,0","7570","0","0","0","0:00","12,0","0:00","Non","01:44:52.65","1","22,0","31","17","42","01:44:49","01:45:23","49","328"
Cyclisme sur route,2023-10-01 07:17:01,false,"Marseille Cyclisme sur route","114,14","2.550","04:08:21","141","177","5,0","--","--","27,6","63,8","1.533","1.530","0,00","0,0","0,0","0","82","123","199","53% G / 47% D","245,6","231","184","676","0,0","0,0","17288","0","0","0","0:00","13,0","0:00","Non","04:08:21.40","1","30,0","32","15","46","04:08:01","04:34:39","42","533"
Cyclisme sur route,2023-09-29 11:03:38,false,"Marseille - Seuil/fsm prog 3x8","38,06","951","01:30:59","145","177","4,4","--","--","25,1","55,6","712","707","0,00","0,0","0,0","0","76","118","205","53% G / 47% D","95,6","217","182","739","0,0","0,0","5997","0","0","0","0:00","25,0","0:00","Non","04:00.00","11","32,0","34","18","46","01:30:11","01:31:01","50","326"
Vélo d'intérieur,2023-09-26 07:20:32,false,"Malakoff - Seuil prog 3x6-1","1,08","401","00:39:48","141","175","3,5","--","--","1,6","9,8","194","199","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:01.82","11","0,0","--","--","--","00:06:00","00:39:48","31","95"
Cyclisme sur route,2023-09-23 07:38:02,false,"Saint-Ferréol-d'Auroure Cyclisme sur route","113,15","3.006","04:29:24","152","173","5,0","--","--","25,2","61,3","2.112","2.127","0,00","0,0","0,0","0","83","122","196","53% G / 47% D","258,3","215","190","415","0,0","0,0","19870","0","0","0","0:00","4,0","0:00","Non","04:29:23.60","1","16,0","35","18","43","04:29:00","04:36:49","526","1.386"
Cyclisme sur route,2023-09-18 07:39:45,false,"Marseille - Seuil/fsm prog 3x8","34,27","883","01:27:46","134","172","3,7","--","--","23,4","61,1","681","674","0,00","0,0","0,0","0","77","127","201","52% G / 48% D","88,1","200","182","688","0,0","0,0","5676","0","0","0","0:00","23,0","0:00","Non","04:00.00","11","28,0","31","18","45","01:27:42","01:27:48","49","326"
